,timestamp,blocktime,hashrate,median_single_trans,fee_percent_in_reward,fees,price,total_send_usd,transaction_number,diff
225,2016-08-13,0.239,4489678502019.0,11.449,0.0742,0.00683,11.451,18446432.0,40577.0,59899407846695.0
226,2016-08-14,0.236,4511128562479.0,9.57,0.0824,0.00717,11.167,15998439.0,42302.0,59513861569381.0
227,2016-08-15,0.238,4622474361691.0,4.601,0.0953,0.00709,11.137,10400560.0,48949.0,61567314128600.0
228,2016-08-16,0.24,4616770688048.0,5.529,0.0877,0.00702,10.977,19379498.0,44867.0,61462888119907.0
229,2016-08-17,0.236,4716782171136.0,5.274,0.107,0.0082,10.87,12889345.0,47799.0,61110173225302.0
230,2016-08-18,0.239,4666174949021.0,6.827,0.0916,0.00746,10.745,11021085.0,42948.0,62459105280758.0
231,2016-08-19,0.238,4808963420746.0,8.102,0.0806,0.00714,11.089,17185955.0,41318.0,63447188528481.0
232,2016-08-20,0.237,4859174821378.0,7.917,0.0863,0.00756,11.084,39377810.0,42543.0,63102927461073.0
233,2016-08-21,0.237,4890827822999.0,6.901,0.0904,0.00757,11.197,25026031.0,44250.0,64445867907625.0
234,2016-08-22,0.239,4979463377275.0,5.544,0.217,0.0165,11.064,49607682.0,48430.0,65758103112503.0
235,2016-08-23,0.238,4968598031878.0,4.776,0.0908,0.00708,11.049,11058422.0,46821.0,65492730197364.0
236,2016-08-24,0.236,5076635939694.0,3.925,0.099,0.00728,11.177,10334627.0,49868.0,67337962999723.0
237,2016-08-25,0.24,5242074400511.0,4.395,0.0968,0.00755,11.307,22134173.0,47292.0,70034672663922.0
